measure,observations,hospitals,mean_err,median_err,mean_observed_rate,pct_err_above_1
HF,2292,2292,1.0035324607329843,1.0048499999999998,20.028684344246216,0.5305410122164049
AMI,1221,1221,1.0116764946764947,1.0116999999999998,14.304196942286604,0.5626535626535627
CABG,374,374,1.0250978609625667,1.0223,12.041316878312546,0.5989304812834224
COPD,1510,1510,1.013957284768212,1.01185,19.928107496074976,0.5860927152317881
HIP-KNEE,290,290,1.0271562068965516,1.0249,5.3429148548859615,0.5551724137931034
PN,2257,2257,1.0061308373947717,1.0035999999999998,16.519992256077586,0.5241470979175897
