ownership_group,observations,hospitals,mean_err,median_err,pct_err_above_1
Voluntary nonprofit,5547,1644,1.0058135388498286,1.0038999999999998,0.5244276185325402
Government,956,313,1.0087135983263598,1.00685,0.547071129707113
Physician-owned,46,26,0.9287782608695652,0.99545,0.4782608695652174
Proprietary,1395,461,1.0266855913978494,1.0202,0.646594982078853
